order|name|line|col|start_x|end_x|start_y|end_y|start_x_48|end_x_48|start_y_48|end_y_48|start_x_64|end_x_64|start_y_64|end_y_64
1|select|1|1|0|31|0|31|0|47|0|47|0|63|0|63
2|construction_line|1|2|32|63|0|31|48|95|0|47|64|127|0|63
3|rectangle|1|3|64|95|0|31|96|143|0|47|128|191|0|63
4|surface_rect|1|4|96|127|0|31|144|191|0|47|192|255|0|63
5|offset|1|5|128|159|0|31|192|239|0|47|256|319|0|63
6|solid_union|1|6|160|191|0|31|240|287|0|47|320|383|0|63
7|hvac_plumbing|1|7|192|223|0|31|288|335|0|47|384|447|0|63
8|edit_object|1|8|224|255|0|31|336|383|0|47|448|511|0|63
7|undef_1_9|1|9|256|287|0|31|384|431|0|47|512|575|0|63
8|undef_1_10|1|10|288|320|0|31|432|479|0|47|576|639|0|63
9|quad|2|1|0|31|32|63|0|47|48|95|0|63|64|127
10|circle|2|2|32|63|32|63|48|95|48|95|64|127|64|127
11|push_pull|2|3|64|95|32|63|96|143|48|95|128|191|64|127
12|move|2|4|96|127|32|63|144|191|48|95|192|255|64|127
13|voxel|2|5|128|159|32|63|192|239|48|95|256|319|64|127
14|solid_intersect|2|6|160|191|32|63|240|287|48|95|320|383|64|127
15|hvac_ventilation|2|7|192|223|32|63|288|335|48|95|384|447|64|127
16|play|2|8|224|255|32|63|336|383|48|95|448|511|64|127
7|undef_2_9|2|9|256|287|0|31|384|431|0|47|512|575|0|63
8|undef_3_10|3|10|288|320|0|31|432|479|0|47|576|639|0|63
17|rotate|3|1|0|31|64|95|0|47|96|143|0|63|128|191
18|scale|3|2|32|63|64|95|48|95|96|143|64|127|128|191
19|paint|3|3|64|95|64|95|96|143|96|143|128|191|128|191
20|eraser|3|4|96|127|64|95|144|191|96|143|192|255|128|191
21|voxel_volume|3|5|128|159|64|95|192|239|96|143|256|319|128|191
22|solid_subtract|3|6|160|191|64|95|240|287|96|143|320|383|128|191
23|line|3|7|192|223|64|95|288|335|96|143|384|447|128|191
24|pause|3|8|224|255|64|95|336|383|96|143|448|511|128|191
7|undef_3_9|3|9|256|287|0|31|384|431|0|47|512|575|0|63
8|undef_3_10|3|10|288|320|0|31|432|479|0|47|576|639|0|63
25|cleanup|4|1|0|31|96|127|0|47|144|191|0|63|192|255
26|color|4|2|32|63|96|127|48|95|144|191|64|127|192|255
27|delete|4|3|64|95|96|127|96|143|144|191|128|191|192|255
28|flip_faces|4|4|96|127|96|127|144|191|144|191|192|255|192|255
29|voxel_frame|4|5|128|159|96|127|192|239|144|191|256|319|192|255
30|swipe_surface|4|6|160|191|96|127|240|287|144|191|320|383|192|255
31|face_outline|4|7|192|223|96|127|288|335|144|191|384|447|192|255
